Customer ID,MonetaryValue,Frequency,LastInvoiceDate,Recency,Cluster
5,777.5,3,2022-08-23,876,0
9,1513.25,2,2018-05-23,2429,1
10,3283.75,7,2024-11-22,54,3
11,5841.72,15,2024-10-10,97,2
12,6722.5,5,2018-04-16,2466,3
13,2499.9,9,2024-09-13,124,3
14,2315.0,3,2018-12-06,2232,1
18,4589.5,1,2016-10-26,3003,1
19,10152.4,4,2016-05-18,3164,3
26,214.5,1,2018-05-16,2436,1
27,1030.75,3,2017-12-10,2593,1
29,13119.57,15,2019-09-09,1955,2
31,2582.0,3,2017-11-19,2614,1
37,6482.4,12,2020-09-24,1574,3
40,1662.9,4,2017-06-22,2764,1
42,3316.5,2,2017-11-14,2619,1
43,1177.5,2,2018-04-19,2463,1
44,1524.88,3,2017-02-14,2892,1
52,12517.73,8,2023-04-05,651,2
53,1561.5,5,2017-02-08,2898,1
57,218.55,1,2014-04-30,3913,1
58,9917.529999999999,14,2025-01-09,6,2
59,2071.5,3,2018-08-28,2332,1
64,12528.509999999998,8,2020-09-24,1574,2
65,2897.8,4,2022-11-15,792,0
67,4066.65,8,2020-02-20,1791,3
76,4805.2,9,2022-07-28,902,3
80,2887.5,6,2022-12-08,769,3
81,8900.0,3,2022-01-04,1107,3
84,243.25,1,2013-11-08,4086,1
86,3091.5,6,2024-11-15,61,3
88,1585.0,4,2021-12-01,1141,0
91,2304.84,6,2021-05-11,1345,3
93,1728.6,6,2023-06-01,594,0
94,3800.35,2,2016-06-09,3142,1
96,665.5,2,2016-10-09,3020,1
99,1868.0,4,2021-04-27,1359,0
109,186.4,1,2017-03-29,2849,1
113,2886.88,4,2022-06-28,932,0
114,3912.5,11,2019-08-26,1969,3
116,167.5,1,2013-10-07,4118,1
128,1649.5,3,2021-02-26,1419,0
129,412.0,1,2017-10-19,2645,1
130,6490.0,8,2022-01-17,1094,3
133,4812.3099999999995,6,2022-03-18,1034,3
136,702.5,2,2021-03-04,1413,0
142,9132.33,17,2023-02-20,695,2
146,251.5,1,2016-01-25,3278,1
147,1174.96,4,2018-06-13,2408,1
149,12971.31,14,2024-08-28,140,2
152,2139.75,1,2016-10-10,3019,1
159,1133.0,4,2021-11-17,1155,0
165,1800.4,1,2019-09-23,1941,1
170,461.76,2,2020-08-28,1601,0
174,6340.9400000000005,12,2024-10-25,82,2
186,2256.81,8,2017-11-28,2605,1
187,482.0,2,2016-02-14,3258,1
190,1729.99,3,2018-07-18,2373,1
195,5718.39,8,2022-07-27,903,3
198,10743.91,17,2024-12-10,36,2
200,3227.1,7,2019-03-08,2140,3
202,274.0,1,2024-08-20,148,0
209,351.0,2,2018-05-30,2422,1
213,1989.0,5,2024-09-09,128,0
214,426.74,1,2013-11-12,4082,1
216,817.5,3,2021-03-15,1402,0
217,995.48,1,2021-06-02,1323,0
218,2258.0,3,2018-05-09,2443,1
220,4594.68,6,2023-04-06,650,3
222,318.5,1,2014-02-21,3981,1
224,655.5,3,2014-03-17,3957,1
227,900.6,1,2017-06-06,2780,1
235,219.5,1,2016-03-03,3240,1
236,7088.54,18,2024-11-28,48,2
237,1846.75,4,2021-07-13,1282,0
239,3495.8,8,2025-01-13,2,3
243,1285.0,1,2016-01-31,3272,1
245,2194.7,6,2018-02-13,2528,1
252,5522.5,11,2021-12-17,1125,3
257,1266.0,2,2023-02-22,693,0
259,4062.36,8,2024-11-04,72,3
263,2612.05,7,2020-01-30,1812,3
267,253.0,1,2019-01-29,2178,1
268,4972.93,17,2017-01-18,2919,2
270,3024.8,4,2022-04-12,1009,0
271,481.0,1,2016-04-03,3209,1
272,256.5,2,2017-11-26,2607,1
275,2777.0,4,2022-03-24,1028,0
